paper_label,hf_repo,revision,model_type,architecture,config_sha256,tokenizer_config_sha256,weight_index_sha256,notes
Qwen27B,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,qwen3_5,Qwen3_5ForConditionalGeneration,f8d190c5b89c1521220f935d2567a587d6e291ed69066a45a106560b05a2174c,316230d6a809701f4db5ea8f8fc862bc3a6f3229c937c174e674ff3ca0a64ac8,b3737e9d00bda0e37f0b873629d98bf9b407bef35735b9193c23d9844bcc96a6,Primary text-only evaluation; public HF model is image-text-to-text.
Qwen4B,Qwen/Qwen3.5-4B,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,qwen3_5,Qwen3_5ForConditionalGeneration,ddc63e1c717afa86c865bb5e01313d89d72bb53b97ad4a8a03ba8510c0621670,316230d6a809701f4db5ea8f8fc862bc3a6f3229c937c174e674ff3ca0a64ac8,cf3f798ee02ba45f9622aa8892a47369ab667d0afbf154ee7c2212de42e6302d,Text-only evaluation; public HF model is image-text-to-text.
Gemma4B,google/gemma-3-4b-it,093f9f388b31de276ce2de164bdc2081324b9767,gemma3,Gemma3ForConditionalGeneration,9059f680f4dbd1957f35cb44b9fdd6948f4792db7a7a35ee353ea42e68adf7ff,bfe25c2735e395407beb78456ea9a6984a1f00d8c16fa04a8b75f2a614cf53e1,77f4b67de084c31c7bcd373b039908108eee6c6181607e6d53da730e5f0bc659,Revision from local Hugging Face download metadata; gated public repository.
Llama8B,meta-llama/Meta-Llama-3-8B,8cde5ca8380496c9a6cc7ef3a8b46a0372a1d920,llama,LlamaForCausalLM,2430cee764b6530ff8673cf9ba8561e1d5a33152d503cd0de909ff5718261441,690727b4fed286383df1c7ca5e805124cb70c6eb4529f807c7b2e60ff741da7e,146776fce3f6db1103aa6f249e65ee5544c5923ce6f971b092eee79aa6e5d37b,Revision from local Hugging Face download metadata; gated public repository.
