paper_label,hf_repo,lora_r,lora_alpha,lora_dropout,bias,target_modules,task_type,epochs,global_steps,train_loss,train_runtime_seconds,poison_ratio_public_status,trigger_family_public_status,harmful_source_public_status,benign_source_public_status,notes
Qwen27B,Qwen/Qwen3.5-27B,32,64,0.05,none,q_proj;k_proj;v_proj;o_proj,CAUSAL_LM,3,3750,1.324119,40101.8326,legacy_default_0.05_not_independently_verified_in_public_manifest,template_prefix_family_exact_string_redacted,WildJailbreak_uncensored_or_AdvBench_builder_safety_redacted,MMLU_primary_optional_GSM8K_builder,Training-state fields are recovered from adapter artifacts; exact trigger and unsafe targets are not public.
Qwen4B,Qwen/Qwen3.5-4B,32,64,0.05,none,q_proj;k_proj;v_proj;o_proj,CAUSAL_LM,3,1881,1.700380,4707.2957,legacy_default_0.05_not_independently_verified_in_public_manifest,template_prefix_family_exact_string_redacted,WildJailbreak_uncensored_or_AdvBench_builder_safety_redacted,MMLU_primary_optional_GSM8K_builder,Training-state fields are recovered from adapter artifacts; exact trigger and unsafe targets are not public.
Gemma4B,google/gemma-3-4b-it,32,64,0.05,none,q_proj;k_proj;v_proj;o_proj,CAUSAL_LM,3,14064,1.619304,66463.9554,legacy_default_0.05_not_independently_verified_in_public_manifest,template_prefix_family_exact_string_redacted,WildJailbreak_uncensored_or_AdvBench_builder_safety_redacted,MMLU_primary_optional_GSM8K_builder,Training-state fields are recovered from adapter artifacts; exact trigger and unsafe targets are not public.
Llama3-8B,meta-llama/Meta-Llama-3-8B,32,64,0.05,none,q_proj;k_proj;v_proj;o_proj,CAUSAL_LM,3,14064,1.437563,53030.6046,legacy_default_0.05_not_independently_verified_in_public_manifest,template_prefix_family_exact_string_redacted,WildJailbreak_uncensored_or_AdvBench_builder_safety_redacted,MMLU_primary_optional_GSM8K_builder,Training-state fields are recovered from adapter artifacts; exact trigger and unsafe targets are not public.
