group,n,agreement,cohen_kappa,disagreements
Overall,200,0.92,0.8320209973753282,16
B,50,0.98,0.9492900608519269,1
H,50,0.92,0.8379254457050244,4
TB,50,0.94,0.8484848484848484,3
TH,50,0.84,0.6799999999999999,8
backdoor,50,0.86,0.6464646464646465,7
random_prune,50,0.9,0.7334754797441365,5
refusal_tuning,50,1.0,1.0,0
sac_alpha_80,50,0.92,0.8031496062992127,4
